task,best_threshold,prior,num_of_pos,num_of_pred_pos
MONDO:0005233,0.1311652199170787,0.02525391161130936,92,2382
MONDO:0021096,0.0401573347618715,0.006530612244897959,24,189
MONDO:0002771,0.0143537642041438,0.002993197278911565,11,159
MONDO:0002516,0.177860370965059,0.09664209664209664,354,11038
MONDO:0100308,0.004021755688515,0.0035364526659412403,13,241
MONDO:0004355,0.0114439208402277,0.006017505470459519,22,669
MONDO:0010383,0.011883118871601,0.003264417845484222,12,57
MONDO:0001187,0.0131960309193639,0.003549003549003549,13,433
MONDO:0017594,0.0747677403055793,0.01582537517053206,58,378
MONDO:0021063,0.0463793460387757,0.009128630705394191,33,308
MONDO:0021043,0.0147889691989932,0.005984766050054407,22,57
MONDO:0008315,0.0426260123881763,0.022113022113022112,81,3438
MONDO:0005113,0.0496528087190211,0.016067538126361657,59,639
MONDO:0005060,0.0217545000349062,0.004372779447936594,16,3
MONDO:0015823,0.0052842014406225,0.004080522306855278,15,85
MONDO:0005147,0.0163172742384296,0.004362050163576881,16,75
MONDO:0005109,0.0286005832548309,0.011444141689373298,42,820
MONDO:0024615,0.0173150642447199,0.006258503401360544,23,147
MONDO:0015131,0.0043049507567053,0.0029923830250272033,11,29
MONDO:0021085,0.2607179517474194,0.007889009793253536,29,152
MONDO:0005011,0.0215700696589311,0.00598639455782313,22,287
